product_name,product_brand,product_category,product_code,product_series,product_part_number,business
GEO WiFi Thermostat,LUX,"Digital Thermostat, Network Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
KT-100,Kantech,Hardware,Not Specified,Not Specified,Not Specified,Not Specified
P111 Non-Programmable Thermostat,LUX,"Digital Thermostat, Non-Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
P711 Programmable/Non-Programmable Thermostat,LUX,"Non-Programmable Thermostat, Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
P711V Programmable/Non-Programmable Thermostat,LUX,"Non-Programmable Thermostat, Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
P721 Programmable/Non-Programmable Thermostat,LUX,"Non-Programmable Thermostat, Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
YMC2,YORK,Centrifugal,Not Specified,Not Specified,Not Specified,Chillers
YK,YORK,"Centrifugal, Screw Air Cooled, Screw Water Cooled",Not Specified,Not Specified,Not Specified,Chillers
YT,YORK,"Centrifugal, Screw Air Cooled, Screw Water Cooled",Not Specified,Not Specified,Not Specified,Chillers
YVAA,YORK,"Centrifugal, Screw Air Cooled, Screw Water Cooled",Not Specified,Not Specified,Not Specified,Chillers
YVWA,YORK,"Centrifugal, Screw Air Cooled, Screw Water Cooled",Not Specified,Not Specified,Not Specified,Chillers
BTCVT Wireless Commissioning Converter,Facility Explorer,Accessory,"FX-BTCVTCBL-700, FX-BTCVT-1",Not Specified,Not Specified,Building Automation and Controls
YEWS,YORK,Screw Water Cooled,Not Specified,Not Specified,Not Specified,Chillers
YR,YORK,Screw Water Cooled,Not Specified,Not Specified,Not Specified,Chillers
YS,YORK,Screw Water Cooled,Not Specified,Not Specified,Not Specified,Chillers
YVWA,YORK,Screw Water Cooled,Not Specified,Not Specified,Not Specified,Chillers
Quantech,Quantech,Not Specified,Not Specified,Not Specified,Not Specified,Chillers
Panoptix Platform,Johnson Controls,Software Application,"PX-BASE-0, PX-BASET5-0, PX-BASET3-0, PX-BASET2-0, PX-BASET1-0, PX-BASET4-0, PX-BASET6-0",Not Specified,Not Specified,Building Automation and Controls
exacqVision Transacq,Exacq,VMS Software,Not Specified,Not Specified,Not Specified,Not Specified
YCIV,YORK,Screw Air Cooled,Not Specified,Not Specified,Not Specified,Chillers
E-Series Heat Detector,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified
2-Wire Heat Detector,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified
Not Specified,Exacq,VMS Software,Not Specified,Not Specified,Not Specified,Not Specified
TrueAlarm QuickConnect2 Photoelectric Sensor,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified
Sounder Base,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified
CO Sensor Base,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified
Photoelectric Sensor,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified
VG12W5XX-C,Johnson Controls,Flanged Globe or Ball Valve and Actuator,Not Specified,Not Specified,Not Specified,Building Automation and Controls APAC
ZFR1800 Series Wireless Field Bus System,Metasys,Wireless Device,"MS-ZFRCBL-0, MS-ZFRRPTK-H2, MS-ZFR1811-0, MS-ZFRRPT-0, MS-ZFR1810-0, MS-ZFR1810-1, MS-ZFR1811-1, MS-ZFR1812-0, MS-ZFRZCT-0, MS-ZFRRPTK-H1",Not Specified,Not Specified,Building Automation and Controls
KT-1,Kantech,Hardware,Not Specified,Not Specified,Not Specified,Not Specified
T8600 Thermostat,Johnson Controls,Fan Coil Thermostat,Not Specified,Not Specified,Not Specified,Building Automation and Controls APAC
ACC-RSEN Remote Temperature Sensor,Johnson Controls,"Accessory, Temperature Sensor",ACC-RSEN,Not Specified,Not Specified,Building Automation and Controls
ACC-RSEN Remote Temperature Sensor,Johnson Controls,"Accessory, Temperature Sensor",ACC-RSEN-OVR,Not Specified,Not Specified,Building Automation and Controls
T8000 Digital Room Thermostat,Johnson Controls,Digital Thermostat,"ACC-WIFI, ACC-WALLPLT, ACC-RSEN, T8690, T8590, T8580, ACC-RSEN-OVR, T8680",Not Specified,Not Specified,Building Automation and Controls
VA9109-xGx-4,Johnson Controls,Electric Actuator,"VA9109-GGC-4, VA9109-IGC-4, VA9109-IGA-4, VA9109-GGA-4, VA9109-xGx-4, VA9109-AGC-4, VA9109-AGA-4",Not Specified,Not Specified,Building Automation and Controls
eDCM380,CEM Systems,Hardware,Not Specified,Not Specified,DCM380-QG-01 19-A,Access Control
Multi-Candela Visible Only V/O Appliances Strobes,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified
Ceiling Mount,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified
Chinese/English,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified
Addressable Audible/Visible Notification Appliance,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified
Speaker/Visible Notification Appliance,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified
Visible Only Notification Appliances and Speakers,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified
