product_name,product_brand,product_category,product_code,product_series,product_part_number,business,product_identifier
GEO WiFi Thermostat,LUX,"Digital Thermostat, Network Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA,GEO_WiFi_Thermostat-LUX-na-Nd-naBA
KT-100,Kantech,Hardware,Not Specified,Not Specified,Not Specified,Not Specified,KT-100-Kan-na-Nd-naNd
P111 Non-Programmable Thermostat,LUX,"Digital Thermostat, Non-Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA,P111_Non-Programmable_Thermostat-LUX-na-Nd-naBA
P711 Programmable/Non-Programmable Thermostat,LUX,"Non-Programmable Thermostat, Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA,P711_Programmable/Non-Programmable_Thermostat-LUX-na-Nd-naBA
P711V Programmable/Non-Programmable Thermostat,LUX,"Non-Programmable Thermostat, Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA,P711V_Programmable/Non-Programmable_Thermostat-LUX-na-Nd-naBA
P721 Programmable/Non-Programmable Thermostat,LUX,"Non-Programmable Thermostat, Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA,P721_Programmable/Non-Programmable_Thermostat-LUX-na-Nd-naBA
YMC2,YORK,"Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Not Specified,Chillers,YMC2-YOR-na-Nd-naCs
YK,YORK,"Centrifugal, Screw Air Cooled, Screw Water Cooled",Not Specified,Not Specified,Not Specified,Chillers,YK-YOR-na-Nd-naCs
YT,YORK,"Centrifugal, Screw Air Cooled, Screw Water Cooled, YORK Enhancement",Not Specified,Not Specified,Not Specified,Chillers,YT-YOR-na-Nd-naCs
YVAA,YORK,"Centrifugal, Chiller Integration, Condensing Unit, Screw Air Cooled, Screw Water Cooled, Scroll Air Cooled",Not Specified,Not Specified,Not Specified,Chillers,YVAA-YOR-na-Nd-naCs
YVWA,YORK,"Centrifugal, Chiller Integration, Screw Air Cooled, Screw Water Cooled, Scroll Air Cooled",Not Specified,Not Specified,Not Specified,Chillers,YVWA-YOR-na-Nd-naCs
BTCVT Wireless Commissioning Converter,Facility Explorer,"Accessory, Field Device","FX-ATV7003-0, FX-BTCVT-1, FX-BTCVTCBL-700, FX-PCA2611-0, FX-PCA2612-1, FX-PCA2612-2, FX-PCA3611-0, FX-PCA4911-0, FX-PCG1611-0, FX-PCG1611-0ET, FX-PCG1611-0G, FX-PCG1611-1, FX-PCG1611-1ET, FX-PCG1621-0, FX-PCG1621-0G, FX-PCG1621-1, FX-PCG2611-0, FX-PCG2611-0ET, FX-PCG2611-0G, FX-PCG2621-0, FX-PCG2621-0G, FX-PCT-0, FX-PCT-6, FX-PCV1610-0, FX-PCV1610-0G, FX-PCV1615-0, FX-PCV1615-0G, FX-PCV1615-1, FX-PCV1615-1G, FX-PCV1620-0, FX-PCV1620-0G, FX-PCV1626-0, FX-PCV1626-0G, FX-PCV1626-1, FX-PCV1626-1G, FX-PCV1628-0, FX-PCV1628-0G, FX-PCV1628-1, FX-PCV1628-1G, FX-PCV1630-0, FX-PCV1630-0G, FX-PCV1630-1, FX-PCV1630-1G, FX-PCV1656-0, FX-PCV1826-0, FX-PCV1826-0G, FX-PCV1930-0, FX-PCX1711-0, FX-PCX2711-0, FX-PCX2711-1, FX-PCX2711-2, FX-PCX2721-0, FX-PCX3711-0, FX-PCX3711-1, FX-PCX3711-2, FX-PCX3721-0, FX-PCX3731-0, FX-PCX4711-0, Not Specified",Not Specified,Not Specified,Building Automation and Controls,BTCVT_Wireless_Commissioning_Converter-Fac-_na-Nd-naBs
YEWS,YORK,Screw Water Cooled,Not Specified,Not Specified,Not Specified,Chillers,YEWS-YOR-na-Nd-naCs
YR,YORK,"Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Not Specified,Chillers,YR-YOR-na-Nd-naCs
YS,YORK,"Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Not Specified,Chillers,YS-YOR-na-Nd-naCs
Quantech,Quantech,Not Specified,Not Specified,Not Specified,Not Specified,Chillers,Quantech-Qua-na-Nd-naCs
