product_name,brand,product_category,product_code,product_series,business,product_identifier
YCAR,YORK,Reciprocating,Not Specified,Not Specified,Chillers,8242430357ca12a0f54138dcad77ed43552f2b89
Damper Accessory Kit,Johnson Controls,Damper Parts and Accessories,"D-9999-152, D-9999-153, DMPR-ACC-0001, DMPR-ACC-0002, DMPR-ACC-0003, DMPR-ACC-0004, DMPR-ACC-0005, DMPR-ACC-0006, DMPR-ACC-0007, DMPR-ACC-0008, DMPR-ACC-0009, DMPR-ACC-0010, DMPR-ACC-0011, DMPR-ACC-0012, DMPR-ACC-0013, DMPR-ACC-0014, DMPR-BPI-0002, DMPR-BPI-0003, DMPR-BPI-0004, DMPR-BPI-0005, DMPR-BRKT-0001, DMPR-BRKT-0002, DMPR-BRKT-0003, DMPR-BRKT-0005, DMPR-BS-0001, DMPR-BS-0002, DMPR-BS-0003, DMPR-BS-0004, DMPR-BS-0005, DMPR-BS-0006, DMPR-BS-0007, DMPR-BS-0008, DMPR-BS-0009, DMPR-BS-0010, DMPR-BS-0011, DMPR-BS-0012, DMPR-FL-0001, DMPR-FL-0002, DMPR-FL-0003, DMPR-FL-0004, DMPR-FL-0005, DMPR-FL-0006, DMPR-FL-0007, DMPR-FL-0008, DMPR-FL-0009, DMPR-FL-0010, DMPR-FL-0011, DMPR-FL-0012, DMPR-JS-0001, DMPR-JS-0002, DMPR-JS-0005, DMPR-JS-0006, DMPR-JS-0007, DMPR-JS-0008, DMPR-JS-0009, DMPR-JS-0010, DMPR-JS-0011, DMPR-JS-0012, DMPR-JS-0013, DMPR-JS-0014, DMPR-JS-0015, DMPR-JS-0016, DMPR-JS-0017, DMPR-JS-0018, DMPR-JS-0019, DMPR-JS-0020, DMPR-JS-0021, DMPR-JS-0022, DMPR-JS-0023, DMPR-JS-0024, DMPR-JS-0025, DMPR-JS-0026, DMPR-JS-0027, DMPR-JS-0028, DMPR-JS-0029, DMPR-JS-0030, DMPR-JS-0031, DMPR-JS-0032, DMPR-JSKIT-0001, DMPR-JSKIT-0002, DMPR-JSKIT-0003, DMPR-JSKIT-0004, DMPR-JSKIT-0005, DMPR-JSKIT-0006, DMPR-JSKIT-0007, DMPR-JSKIT-0008, DMPR-JSKIT-0009, DMPR-JSKIT-0010, DMPR-KC001, DMPR-KC002, DMPR-KC003, DMPR-KC004, DMPR-KC005, DMPR-KC006, DMPR-KC007, DMPR-KC008, DMPR-KC009, DMPR-KC010, DMPR-KC050, DMPR-KC051, DMPR-KC052, DMPR-KC053, DMPR-KC054, DMPR-KC055, DMPR-KC100, DMPR-KC101, DMPR-KC102, DMPR-KC150, DMPR-KC151, DMPR-KC152, DMPR-KC200, DMPR-KC201, DMPR-KC202, DMPR-KC203, DMPR-KC204, DMPR-KC205, DMPR-KC206, DMPR-KC207, DMPR-KC208, DMPR-KC209, DMPR-KC250, DMPR-KC251, DMPR-KC252, DMPR-KC253, DMPR-KC254, DMPR-KC255, DMPR-KC256, DMPR-KC257, DMPR-KC258, DMPR-KC260, DMPR-KC300, DMPR-KF001, DMPR-KR001, DMPR-KR002, DMPR-KR003, DMPR-KS001, DMPR-KS101, DMPR-KS102, DMPR-KS103, DMPR-RC001, DMPR-RC002, DMPR-RC005, DMPR-RC006, DMPR-RC051, DMPR-RC052, DMPR-RC053, DMPR-RC054, DMPR-RS101, DMPR-RS102, DMPR-RS103, DMPR-RS201, DMPR-RS202, SWL10A-603Y",Not Specified,Building Automation and Controls,2a85e6774043813b80edd7442717f29abe3bc301
Damper Replacement Part,Johnson Controls,Damper Parts and Accessories,"D-9999-152, D-9999-153, DMPR-KC001, DMPR-KC002, DMPR-KC009, DMPR-KC050, DMPR-KC051, DMPR-KC052, DMPR-KC053, DMPR-KC054, DMPR-KC055, DMPR-KC100, DMPR-KC101, DMPR-KC102, DMPR-KC150, DMPR-KC151, DMPR-KC152, DMPR-KC200, DMPR-KC201, DMPR-KC202, DMPR-KC203, DMPR-KC204, DMPR-KC205, DMPR-KC206, DMPR-KC207, DMPR-KC250, DMPR-KC251, DMPR-KC252, DMPR-KC253, DMPR-KC254, DMPR-KC255, DMPR-KC256, DMPR-KC257, DMPR-KC258, DMPR-KC260, DMPR-KC300, DMPR-KF001, DMPR-KR001, DMPR-KR002, DMPR-KR003, DMPR-KS001, DMPR-KS101, DMPR-KS102, DMPR-KS103, DMPR-RC001, DMPR-RC002, DMPR-RC003, DMPR-RC005, DMPR-RC006, DMPR-RC051, DMPR-RC052, DMPR-RC053, DMPR-RC054, DMPR-RS101, DMPR-RS102, DMPR-RS103, DMPR-RS201, DMPR-RS202, SWL10A-603Y",Not Specified,Building Automation and Controls,51c9220cb5282f81fa049b89d2da7f9804524292
YT,YORK,"Centrifugal, Screw Air Cooled, Screw Water Cooled, YORK Enhancement",Not Specified,Not Specified,Chillers,962cdf658e56f64cadf8c82c4f66da091b2baa99
Graphics,Metasys,Software Application,Not Specified,Not Specified,Building Automation and Controls,35cffe6df0724ecbc6715f22ba7f61c815e2a307
YCAS,YORK,"Condensing Unit, Reciprocating, Screw Air Cooled, Screw Water Cooled, Scroll Air Cooled, Scroll Water Cooled",Not Specified,Not Specified,Chillers,38770f15a6e7df399adf81bcf871ae87484de570
YCUL,YORK,"Chiller Integration, Condensing Unit, Screw Air Cooled, Screw Water Cooled, Scroll Air Cooled, Scroll Water Cooled",Not Specified,Not Specified,Chillers,8685896dc330cfa17f2d5f566cd1b5ac73d0bf7b
N2 Bus,Metasys,Gateway/Router,"AS-COM1100-0, MM-CVT101-0, NU-EOL201-0, NU-NET201-0, NU-NET202-0",Not Specified,Building Automation and Controls,0e4ae916029166d3eb797a2e925f43592fff54dd
YS,YORK,"Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Chillers,d7ab11f31cfc1581ec3ee57f87889a3216eceb4a
DMPR-KC009 Damper Position Indicator Switch Kit,Johnson Controls,Damper Parts and Accessories,"DMPR-KC009, DMPR-KS001",Not Specified,Building Automation and Controls,a51de5b560d772b240e642189c1bc7ea79dd07df
