document_title,document_number,document_part_number,document_version,document_revision,document_type,document_created_at,document_last_edition,document_last_publication,document_revised_modified,brand,document_link,maps_link,product_identifier,document_identifier
BCT Installation Guide,LIT-12011941,LIT-12011941,13.2,Not Specified,Installation Guide,2013-10-15,2020-03-16,2020-03-14,2020-03-16,BCPro,/reader/wfPqo8iG7TbH~yEr8v82aw/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/wfPqo8iG7TbH~yEr8v82aw,d0d6ef88b35d8730d4d175ab242d7214f7183ae6,eb5f24e42d6665e8cb917d7ed4205a3c625fca0a
BCPro User Interface,LIT-12012561,LIT-12012561,4.0,Not Specified,User Guide,2017-12-01,2020-03-10,2020-03-10,2020-03-10,BCPro,/reader/r5lC3405saYtgfa65hhCfg/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/r5lC3405saYtgfa65hhCfg,d0d6ef88b35d8730d4d175ab242d7214f7183ae6,dabb7fec9d103c1d3366d9c3352c5c65c2b73b76
BCPro System Product Bulletin,LIT-12011913,LIT-12011913,Not Specified,Not Specified,Product Bulletin,2018-04-01,2020-03-20,2020-03-20,2020-03-20,BCPro,/reader/0gQPxvpu3tyz706HNIIQvg/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/0gQPxvpu3tyz706HNIIQvg,d0d6ef88b35d8730d4d175ab242d7214f7183ae6,ecef2f1abbfb41a9614342d691ab540631733cd0
BCPro System Architecture and Configuration Guide,LIT-12012583,LIT-12012583,4.0,Not Specified,Configuration Guide,2018-04-01,2020-03-09,2020-03-09,2020-03-09,BCPro,/reader/_pWvAu9s17Vw1ZbTQTpCPA/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/_pWvAu9s17Vw1ZbTQTpCPA,d0d6ef88b35d8730d4d175ab242d7214f7183ae6,fd9cde3244e5dc368a89dff431aa1fa6ed79b99d
BCPro Installation Guide,LIT-12011910,LIT-12011910,4.0,Not Specified,Installation Guide,2018-05-01,2020-03-09,2020-03-09,2020-03-09,BCPro,/reader/rDSavr0KIw97~60yrwFeng/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/rDSavr0KIw97~60yrwFeng,d0d6ef88b35d8730d4d175ab242d7214f7183ae6,2a8403f1549843e4eddcbb248b401f8a0fef5125
exacqVision Client User Manual,ygd1549486126810,ygd1549486126810,9.4,Not Specified,User Guide,2018-06-15,2019-06-24,2019-06-24,2018-06-15,Exacq,/reader/I9sxqp4DRaTFWlaRAPwqTQ/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/I9sxqp4DRaTFWlaRAPwqTQ,eed9c6c25022273917e24a26159371e5438bec12,b9bd97eec39e8d9aaa550b13a3eee90303f5c481
Johnson Controls Enterprise Management: Hardware Installation Guide,LIT-12012431,LIT-12012431,2.2,Not Specified,Installation Guide,2018-12-11,2020-02-28,2020-02-28,2020-02-28,Johnson Controls,/reader/EJncpncXUiFvyKgUNmpnyQ/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/EJncpncXUiFvyKgUNmpnyQ,99481fc08ff8e7e99f643f816ae0ceed73bf5e63,20e825d45ea0efdb335e0f53944276d9bdd1523e
LCS85 Installation and Upgrade Guide,LIT-12011623,LIT-12011623,10.1,Not Specified,Installation Guide,2018-12-17,2020-03-06,2020-03-05,2020-03-06,Metasys,/reader/q8_r0x_vG0My10rG8DVt0A/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/q8_r0x_vG0My10rG8DVt0A,b46eb5e5ecd613099c7ce7b20bbf8705ed086351,208a550900f514b090fdddcb94f0606ba7e8747c
NAE85 Installation and Upgrade Guide,LIT-12011530,LIT-12011530,10.1,Not Specified,Installation Guide,2018-12-17,2020-03-06,2020-03-05,2020-03-06,Metasys,/reader/HZULPYv0dcQe0Zs~zjz3oA/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/HZULPYv0dcQe0Zs~zjz3oA,dce390c2eed25ad14577e35ec0263815a6466f1e,fb7b30052aee67c1dccc71e5f720c65880a26d90
MS/TP Communications Bus for the BCPro System Technical Bulletin,LIT-12011908,LIT-12011908,4.0,Not Specified,Technical Bulletin,2018-12-17,2020-03-16,2020-03-16,2020-03-16,BCPro,/reader/tYumkboWc9mtlIaKabcKPQ/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/tYumkboWc9mtlIaKabcKPQ,d0d6ef88b35d8730d4d175ab242d7214f7183ae6,2e4ffff79a75a1700c4fa049b5ef5757c951893e
