topic_title,breadcrumb,topic_depth,document_last_edition,document_link,document_identifier
Contact information,PENN Connected C20 Gateway Catalog Page> Contact information,2,2020-03-03,/reader/05xSdbqmBv4czTBsYKEzdw/BWRtTLomQ7lzqGMJvrdAdg,d2e9e0d809a1c3baa0896bfa3d7e59405201a36e
Single point of contact,PENN Connected C20 Gateway Catalog Page> Single point of contact,2,2020-03-03,/reader/05xSdbqmBv4czTBsYKEzdw/cdxcsXwbvxMi3lF59WZJog,d2e9e0d809a1c3baa0896bfa3d7e59405201a36e
Software terms,PENN Connected C20 Gateway Catalog Page> Software terms,2,2020-03-03,/reader/05xSdbqmBv4czTBsYKEzdw/8MChKu7aP7_3wDZIp5gxMg,d2e9e0d809a1c3baa0896bfa3d7e59405201a36e
Product warranty,PENN Connected C20 Gateway Catalog Page> Product warranty,2,2020-03-03,/reader/05xSdbqmBv4czTBsYKEzdw/bdx4Bw9WCsC8YJBysuyFPA,d2e9e0d809a1c3baa0896bfa3d7e59405201a36e
C20 Gateway technical specifications,PENN Connected C20 Gateway Catalog Page> C20 Gateway technical specifications,2,2020-03-03,/reader/05xSdbqmBv4czTBsYKEzdw/yqssCwZMW3yzBwlxZPufiw,d2e9e0d809a1c3baa0896bfa3d7e59405201a36e
Repair information,PENN Connected C20 Gateway Catalog Page> Repair information,2,2020-03-03,/reader/05xSdbqmBv4czTBsYKEzdw/hbtPjhII8fS_gXeYRxhrrQ,d2e9e0d809a1c3baa0896bfa3d7e59405201a36e
Ordering information,PENN Connected C20 Gateway Catalog Page> Ordering information,2,2020-03-03,/reader/05xSdbqmBv4czTBsYKEzdw/~TCACWwRqVK2SVDpgtHZlQ,d2e9e0d809a1c3baa0896bfa3d7e59405201a36e
Applications,PENN Connected C20 Gateway Catalog Page> Applications,2,2020-03-03,/reader/05xSdbqmBv4czTBsYKEzdw/XGyqhAz3Iv1n6xBmhBaxrg,d2e9e0d809a1c3baa0896bfa3d7e59405201a36e
Features,PENN Connected C20 Gateway Catalog Page> Features,2,2020-03-03,/reader/05xSdbqmBv4czTBsYKEzdw/eALZbE901~XIPOeXu91jNg,d2e9e0d809a1c3baa0896bfa3d7e59405201a36e
Description,PENN Connected C20 Gateway Catalog Page> Description,2,2020-03-03,/reader/05xSdbqmBv4czTBsYKEzdw/mRZxC1f8TUY5fboMnPUuaA,d2e9e0d809a1c3baa0896bfa3d7e59405201a36e
E10 Temperature Sensor technical specifications,PENN Connected E10 Temperature Sensor Catalog Page> E10 Temperature Sensor technical specifications,2,2020-03-03,/reader/6H28Rvw~bGytw3rCDidZ2g/Fa2PrTw9GvztaoF11DREFA,604e3acf9398ff25f573d59b89654a812a077468
Repair information,PENN Connected E10 Temperature Sensor Catalog Page> Repair information,2,2020-03-03,/reader/6H28Rvw~bGytw3rCDidZ2g/0OXXV4Q~pr6LaoI_xM1GbA,604e3acf9398ff25f573d59b89654a812a077468
Ordering information,PENN Connected E10 Temperature Sensor Catalog Page> Ordering information,2,2020-03-03,/reader/6H28Rvw~bGytw3rCDidZ2g/SJBcFNLEEY_TgEiUtRuk0w,604e3acf9398ff25f573d59b89654a812a077468
Applications,PENN Connected E10 Temperature Sensor Catalog Page> Applications,2,2020-03-03,/reader/6H28Rvw~bGytw3rCDidZ2g/tPb9P~wKqtOWVJQRrNIwBQ,604e3acf9398ff25f573d59b89654a812a077468
Features,PENN Connected E10 Temperature Sensor Catalog Page> Features,2,2020-03-03,/reader/6H28Rvw~bGytw3rCDidZ2g/KZAwnXojvFsSTIuhFkGeLQ,604e3acf9398ff25f573d59b89654a812a077468
Description,PENN Connected E10 Temperature Sensor Catalog Page> Description,2,2020-03-03,/reader/6H28Rvw~bGytw3rCDidZ2g/Jfif8GoKgVuq6OhrQ95xng,604e3acf9398ff25f573d59b89654a812a077468
E11 Temperature Sensor technical specifications,PENN Connected E11 Temperature Sensor Catalog Page> E11 Temperature Sensor technical specifications,2,2020-03-03,/reader/MzpuhwHVlAE2KzayrWfxUw/tqWxh7_tiSA9dMURiu6z6A,169c3baafde82b1a55b262677f0b4686cac6084c
Repair information,PENN Connected E11 Temperature Sensor Catalog Page> Repair information,2,2020-03-03,/reader/MzpuhwHVlAE2KzayrWfxUw/aegBzYujQS2O0YUagtP0pg,169c3baafde82b1a55b262677f0b4686cac6084c
