topic_title,document_title,document_number,document_part_number,document_version,document_revision,document_type,document_lang,document_created_at,document_last_edition,document_last_publication,document_revised_modified,document_link,product_name,brand,product_category,product_code,product_series,business,maps_link,breadcrumb
HPSH Rotary Screw Compressor IOM (1510),HPSH Rotary Screw Compressor IOM (1510),070.750-IOM ,Not Specified,2018-05 ,2018-05 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/Dx7HJvR53kjxsOH2PiIw0g,HPSH,FRICK,Compressor,1510 ,Not Specified,Industrial Refrigeration,None,
"HPSH Rotary Screw Compressor SPC (1510, 2709, and 2712)","HPSH Rotary Screw Compressor SPC (1510, 2709, and 2712)",070.755-SPC,Not Specified,2019-05 ,2019-05 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/qOJN~RMGQli9hh1XWleuvQ,HPSH,FRICK,Compressor,"2712, 1510, 2709 ",Not Specified,Industrial Refrigeration,None,
NGC Gas Compressor IOM (100-450),NGC Gas Compressor IOM (100-450),070.800-IOM,Not Specified,2014-02 ,2014-02 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/5_pLk_RUsGZFj_GlEoGryQ,NGC,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,
NGC Rotary Screw Compressors IOM (100-450),NGC Rotary Screw Compressors IOM (100-450),070.550-IOM,Not Specified,2016-09 ,2016-09 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/W2sHBB7lm8aXh7a5JCSztQ,NGC,FRICK,Compressor,"100, 250, 150, 450, 200, 400, 300 ",Not Specified,Industrial Refrigeration,None,
NGC Rotary Screw Compressors SPC (100-450),NGC Rotary Screw Compressors SPC (100-450),070.550-SPC,Not Specified,2014-11 ,2014-11 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/IonkN1h1H201uOanbUZh3g,NGC,FRICK,Compressor,"100, 250, 150, 450, 200, 400, 300 ",Not Specified,Industrial Refrigeration,None,
RWB II IOM (496-1080),RWB II IOM (496-1080),S70-210-IOM ,Not Specified,2005-09 ,2005-09 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/b6zHHSanvtI_5KhRNlAvCA,RWBII,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,
RWB II IOM (496-1080),RWB II IOM (496-1080),S70-210-IOM ,Not Specified,2005-09 ,2005-09 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/dBOB50nc32kSZWrBqUOf9A,RWBII,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,
RWB II SPC (60 and 480),RWB II SPC (60 and 480),E70-200-SPC ,Not Specified,2001-04 ,2001-04 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/0Z0~49oIKcLe34KRLqb_xg,RWBII,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,
RWF II Vertical SPC (496-1395 with Quantum LX),RWF II Vertical SPC (496-1395 with Quantum LX),070.620-SPC,Not Specified,Not Specified,2010-07,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/qR7SONhAvTT1hiikYI7izQ,RWFII,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,
RWF IOM (100-480),RWF IOM (100-480),070.600-IOM ,Not Specified,2013-01 ,2013-01 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/5Al5T4OAdUAolFQtSPxv6Q,RWF,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,
RWF SPC (100-480),RWF SPC (100-480),E70-600-SPC,Not Specified,2000-10 ,2000-10 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/9OlylE~JeZtJDEOxZXXyuQ,RWF,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,
RWFII IOM (100-1080 with Quantum HD),RWFII IOM (100-1080 with Quantum HD),070.610-IOM,Not Specified,2018-12 ,2018-12 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/tQuyv91YmYdIgcCkv3s8sw,RWFII,FRICK,Compressor,"119 SS, 100, 375 SS, 177, 399, 496, 1080, 222, 264 SS, 472 SS, 856, 159 SS, 270, 546, 480, 676, 316, 209 SS, 134 ",Not Specified,Industrial Refrigeration,None,
RWFII SPC (100-546 with Quantum HD),RWFII SPC (100-546 with Quantum HD),070.610-SPC,Not Specified,2012-08 ,2012-08 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/ivw2FIZyFrjf83IlOIFjYw,RWFII,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,
RWFII SPC (100-546 with Quantum HD),RWFII SPC (100-546 with Quantum HD),070.610-SPC1 ,Not Specified,2014-07 ,2014-07 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/D08hp0vWkOvysnlY~sZ1sg,RWFII,FRICK,Compressor,"546B, 134H, 222H, 177H, 100H, 270H, 316B, 134B, 270B, 316H, 222B, 399B, 399H, 480H, 100B, 546H, 177B, 480B ",Not Specified,Industrial Refrigeration,None,
RWFII SPC (496-1080 with Quantum HD),RWFII SPC (496-1080 with Quantum HD),070.610-SPC,Not Specified,2012-08 ,2012-08 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/8LM_sqp1thboNr2QEE7Z5A,RWFII,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,
RWH Rotary Screw Compressor Units IOM,RWH Rotary Screw Compressor Units IOM,070.620-IOM,Not Specified,Not Specified,2012-12,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/kYVaYaV7LAlPBw53USJTUw,RWH,FRICK,Compressor,"1395, 1179, 852",Not Specified,Industrial Refrigeration,None,
"RWH Vertical Units SPC (852, 1179, and 1395 with Quantum LX)","RWH Vertical Units SPC (852, 1179, and 1395 with Quantum LX)",070.620-SPC,Not Specified,Not Specified,2013-02,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/yJXsQ~_58JNCdUEENzj6ZQ,RWH,FRICK,Compressor,"1395, 1179, 852",Not Specified,Industrial Refrigeration,None,
RXB Plus Rotary Screw Compressor with Microprocessor Control IOM,RXB Plus Rotary Screw Compressor with Microprocessor Control IOM,S70-101-IOM ,Not Specified,2000-01 ,2000-01 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/5J7tyW0wPmYo~VcmQ~KIVg,RXB,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,
RXF IOM with Quantum HD Controls (12-101),RXF IOM with Quantum HD Controls (12-101),070.410-IOM,Not Specified,2018-12 ,2018-12 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/g0NpuiJigh~YtYInMIjIzA,RXF,FRICK,Compressor,"24, 58, 15, 85, 68, 101, 39, 30, 50, 12, 19 ",Not Specified,Industrial Refrigeration,None,
RXF with Quantum HD Controls SPC (12-50),RXF with Quantum HD Controls SPC (12-50),070.410-SPC1 ,Not Specified,2014-07 ,2014-07 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/scQcoS5mMvHgHnlCP2tEZA,RXF,FRICK,Compressor,"24, 19, 50, 15, 12, 39, 30 ",Not Specified,Industrial Refrigeration,None,
"SBTP Compressor IOM (4013, 4018, and 4021)","SBTP Compressor IOM (4013, 4018, and 4021)",070.655-IOM,Not Specified,Not Specified,2019-05,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/SKEQ~L2YKFMx5vcYKgmv9w,SBTP,FRICK,Compressor,"4018, 4013, 4021",Not Specified,Industrial Refrigeration,None,
"SBTP Compressor SPC (4013, 4018, and 4021)","SBTP Compressor SPC (4013, 4018, and 4021)",070.655-SPC,Not Specified,Not Specified,2017-11,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/jIsJYuy3Y3Kf8AAE~Z2OzQ,SBTP,FRICK,Compressor,"4018, 4013, 4021",Not Specified,Industrial Refrigeration,None,
SGC Rotary Screw Compressors IOM (1913-3524),SGC Rotary Screw Compressors IOM (1913-3524),070.650-IOM,Not Specified,2009-10 ,2009-10 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/Hms4t9ygAzAFnmWRkLfwFA,SGC,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,
SGC Rotary Screw Compressors SPC (1913-3524),SGC Rotary Screw Compressors SPC (1913-3524),070.650-SPC,Not Specified,2014-11 ,2014-11 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/H376JpISQUIKbdZ_7yXl5Q,"SGC, SGCB, SGCH, SGX",FRICK,Compressor,"SGCB 3515, SGXH 3519, SGXB 3519, SGC 2313, SGC 2317, SGC 2824, SGCB 3511, SGCH 3519, SGCB 3519, SGC 1918, SGXB 3524, SGC 2321, SGXH 4013, SGC 1913, SGCH 3515, SGC 2817, SGXH 4018, SGXH 4021, SGC 2813, SGCH 3511, SGC 2821 ",Not Specified,Industrial Refrigeration,None,
"TDS 408 mm Rotary Screw Compressor IOM (408S, 408L, and 408XL)","TDS 408 mm Rotary Screw Compressor IOM (408S, 408L, and 408XL)",070.250-IOM,Not Specified,2011-04,2011-04,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/aCyIXTI7NH0IsOu~AJHIXA,"TDSB, TDSH",FRICK,Compressor,"408XL, 408S, 408L",Not Specified,Industrial Refrigeration,None,
TDS Rotary Screw Compressor IOM (163-355),TDS Rotary Screw Compressor IOM (163-355),070.250-IOM1,Not Specified,2016-04,2016-04,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/6eOUpHD~vymIjJ7K5j7ANg,"TDSB, TDSH, TDSL",FRICK,Compressor,"TDSH 355L, TDSB355U, TDSH 355XL, TDSL 193S, TDSL 283L, TDSL 193L, TDSH 233L, TDSH 283SX, TDSH 233S, TDSH 233XL, TDSH 193L, TDSL 233S, TDSL 283S, TDSH 283S, TDSH 163L, TDSL 233L, TDSH 355S, TDSH 193S, TDSB 355S, TDSB 355L, TDSH 283L, TDSB 355XL, TDSH 163S",Not Specified,Industrial Refrigeration,None,
"TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)","TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)",070.250-SPC,Not Specified,2014-11,2014-11,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/4hC1cZ7JIDfiMJmk91CyvA,"TDSH, TDXB, TDXH",FRICK,Compressor,"TDSH 233S, TDSH 283L, TDSH 193L, TDXH 355XL, TDXH 355S, TDXH 408L, TDXH 408XL, TDSH 233L, TDXB 355S, TDXH 355L, TDSH 283S, TDSH 163L, TDSH 233XL, TDXB 355U, TDSH 283SX, TDXH 408S, TDXB 355L, TDSH 163S, TDXB 355XL, TDSH 193S",Not Specified,Industrial Refrigeration,None,
TDSH/PDSH Rotary Screw Compressor SPL (163 - 408),TDSH/PDSH Rotary Screw Compressor SPL (163 - 408),070.500-SPC,Not Specified,2012-01 ,2012-01 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/cRoNVHW7p~eUdx0uebRk6g,"PDSH, TDSH",FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,
"XJF IOM (95, 120, and 151)","XJF IOM (95, 120, and 151)",070.450-IOM,Not Specified,2013-11,2013-11,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/CrRpJ3kIFbd6qgNKTLYqrg,"XJF, XJS",FRICK,Compressor,"XJF 151N, 120M, XJF 151A, XJF 151L, 95M, 95L, 95S, XJF 151M, 120L, 120S",Not Specified,Industrial Refrigeration,None,
XJF Rotary Screw Compressor SPC (151X),XJF Rotary Screw Compressor SPC (151X),070.455-SPC,Not Specified,2014-03 ,2014-03 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/dQiUkeXqaWQce9e7ftYicA,XJF,FRICK,Compressor,"151XP, 151XR, 151XQ, 151XS, 151XT ",Not Specified,Industrial Refrigeration,None,
XJS/XJF Rotary Screw Compressor SPC (95-151),XJS/XJF Rotary Screw Compressor SPC (95-151),070.510-SPC,Not Specified,2014-03 ,2014-03 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/Gxg8nbGf8muRmgpjFoI71A,"XJF, XJS",FRICK,Compressor,"XJF 151N, 120M, XJF 151A, XJF 151L, 95M, 95L, 95S, XJF 151M, 120L, 120S ",Not Specified,Industrial Refrigeration,None,
AcuAir Distribution Accessories SPC,AcuAir Distribution Accessories SPC,210.200-SPC2,Not Specified,Not Specified,2015-10,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/IrxHjRvmO0KWYNb0k5hs2g,"AcuAir, Air Diffuser",FRICK,Hygienic Air Handler,"FS-07, FS-50, FS-60, FS-10, FS-20, FS-40, FS-30, FS-25, FS-01, FS-05, FS-35, FS-15, FS-03",Not Specified,Industrial Refrigeration,None,
AcuAir Food Grade Series SPC,AcuAir Food Grade Series SPC,210.210-SPC1,Not Specified,Not Specified,2018-07,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/~szOCIHYB9h_hB4TfDrrdQ,"AcuAir, Food Grade Series",FRICK,Hygienic Air Handler,"YC-AA-F-07, YC-AA-F-50, YC-AA-F-40, YC-AA-F-30, YC-AA-F-20, YC-AA-F-10, YC-AA-F-80, YC-AA-F-70, YC-AA-F-15, YC-AA-F-60",Not Specified,Industrial Refrigeration,None,
AcuAir Fully Welded Supply Air Diffusers SPC,AcuAir Fully Welded Supply Air Diffusers SPC,210.230-SPC1,Not Specified,Not Specified,2018-02,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/2Akh9pp_w_na2SwNZvejlQ,"AcuAir, Air Diffuser",FRICK,Hygienic Air Handler,"WFS-6539, WFS-4535, WFS-6547, WFS-4517, WFS-6527, WFS-6531, WFS-2510, WFS-1508, WFS-1506, WFS-2515, WFS-4529, WFS-4523, WFS-2520, WFS-1512",Not Specified,Industrial Refrigeration,None,
AcuAir Hygienic Air Handling IOM,AcuAir Hygienic Air Handling IOM,210.100-IOM,Not Specified,Not Specified,2018-07,Installation Operation and Maintenance Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/4DA73NJdo5KDyvJq7yq59A,AcuAir,FRICK,Hygienic Air Handler,Not Specified,Not Specified,Industrial Refrigeration,None,
AcuAir Performance Series Makeup Air Units SPC,AcuAir Performance Series Makeup Air Units SPC,210.205-SPC1,Not Specified,Not Specified,2018-07,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/3biGAnAQipZ6iqRvjBY9WA,"AcuAir, Makeup Air Unit",FRICK,Hygienic Air Handler,"YC-AA-P-20-MA, YC-AA-P-50-MA, YC-AA-P-30-MA, YC-AA-P-70-MA, YC-AA-P-15-MA, YC-AA-P-05-MA, YC-AA-P-10-MA, YC-AA-P-60-MA, YC-AA-P-03-MA, YC-AA-P-40-MA, YC-AA-P-07-MA",Not Specified,Industrial Refrigeration,None,
