topic_title,document_title,document_number,document_part_number,document_version,document_revision,document_type,document_lang,document_created_at,document_last_edition,document_last_publication,document_revised_modified,document_link,brand,product_category,product_code,product_series,business,maps_link,breadcrumb,product_name
HPSH Rotary Screw Compressor IOM (1510),HPSH Rotary Screw Compressor IOM (1510),070.750-IOM ,Not Specified,2018-05 ,2018-05 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/Dx7HJvR53kjxsOH2PiIw0g,FRICK,Compressor,1510 ,Not Specified,Industrial Refrigeration,None,,HPSH
"HPSH Rotary Screw Compressor SPC (1510, 2709, and 2712)","HPSH Rotary Screw Compressor SPC (1510, 2709, and 2712)",070.755-SPC,Not Specified,2019-05 ,2019-05 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/qOJN~RMGQli9hh1XWleuvQ,FRICK,Compressor,"2712, 1510, 2709 ",Not Specified,Industrial Refrigeration,None,,HPSH
NGC Gas Compressor IOM (100-450),NGC Gas Compressor IOM (100-450),070.800-IOM,Not Specified,2014-02 ,2014-02 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/5_pLk_RUsGZFj_GlEoGryQ,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,NGC
NGC Rotary Screw Compressors IOM (100-450),NGC Rotary Screw Compressors IOM (100-450),070.550-IOM,Not Specified,2016-09 ,2016-09 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/W2sHBB7lm8aXh7a5JCSztQ,FRICK,Compressor,"100, 250, 150, 450, 200, 400, 300 ",Not Specified,Industrial Refrigeration,None,,NGC
NGC Rotary Screw Compressors SPC (100-450),NGC Rotary Screw Compressors SPC (100-450),070.550-SPC,Not Specified,2014-11 ,2014-11 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/IonkN1h1H201uOanbUZh3g,FRICK,Compressor,"100, 250, 150, 450, 200, 400, 300 ",Not Specified,Industrial Refrigeration,None,,NGC
RWB II IOM (496-1080),RWB II IOM (496-1080),S70-210-IOM ,Not Specified,2005-09 ,2005-09 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/b6zHHSanvtI_5KhRNlAvCA,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWBII
RWB II IOM (496-1080),RWB II IOM (496-1080),S70-210-IOM ,Not Specified,2005-09 ,2005-09 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/dBOB50nc32kSZWrBqUOf9A,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWBII
RWB II SPC (60 and 480),RWB II SPC (60 and 480),E70-200-SPC ,Not Specified,2001-04 ,2001-04 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/0Z0~49oIKcLe34KRLqb_xg,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWBII
RWF II Vertical SPC (496-1395 with Quantum LX),RWF II Vertical SPC (496-1395 with Quantum LX),070.620-SPC,Not Specified,Not Specified,2010-07,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/qR7SONhAvTT1hiikYI7izQ,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWFII
RWF IOM (100-480),RWF IOM (100-480),070.600-IOM ,Not Specified,2013-01 ,2013-01 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/5Al5T4OAdUAolFQtSPxv6Q,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWF
RWF SPC (100-480),RWF SPC (100-480),E70-600-SPC,Not Specified,2000-10 ,2000-10 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/9OlylE~JeZtJDEOxZXXyuQ,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWF
RWFII IOM (100-1080 with Quantum HD),RWFII IOM (100-1080 with Quantum HD),070.610-IOM,Not Specified,2018-12 ,2018-12 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/tQuyv91YmYdIgcCkv3s8sw,FRICK,Compressor,"119 SS, 100, 375 SS, 177, 399, 496, 1080, 222, 264 SS, 472 SS, 856, 159 SS, 270, 546, 480, 676, 316, 209 SS, 134 ",Not Specified,Industrial Refrigeration,None,,RWFII
RWFII SPC (100-546 with Quantum HD),RWFII SPC (100-546 with Quantum HD),070.610-SPC,Not Specified,2012-08 ,2012-08 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/ivw2FIZyFrjf83IlOIFjYw,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWFII
RWFII SPC (100-546 with Quantum HD),RWFII SPC (100-546 with Quantum HD),070.610-SPC1 ,Not Specified,2014-07 ,2014-07 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/D08hp0vWkOvysnlY~sZ1sg,FRICK,Compressor,"546B, 134H, 222H, 177H, 100H, 270H, 316B, 134B, 270B, 316H, 222B, 399B, 399H, 480H, 100B, 546H, 177B, 480B ",Not Specified,Industrial Refrigeration,None,,RWFII
RWFII SPC (496-1080 with Quantum HD),RWFII SPC (496-1080 with Quantum HD),070.610-SPC,Not Specified,2012-08 ,2012-08 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/8LM_sqp1thboNr2QEE7Z5A,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWFII
RWH Rotary Screw Compressor Units IOM,RWH Rotary Screw Compressor Units IOM,070.620-IOM,Not Specified,Not Specified,2012-12,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/kYVaYaV7LAlPBw53USJTUw,FRICK,Compressor,"1395, 1179, 852",Not Specified,Industrial Refrigeration,None,,RWH
"RWH Vertical Units SPC (852, 1179, and 1395 with Quantum LX)","RWH Vertical Units SPC (852, 1179, and 1395 with Quantum LX)",070.620-SPC,Not Specified,Not Specified,2013-02,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/yJXsQ~_58JNCdUEENzj6ZQ,FRICK,Compressor,"1395, 1179, 852",Not Specified,Industrial Refrigeration,None,,RWH
RXB Plus Rotary Screw Compressor with Microprocessor Control IOM,RXB Plus Rotary Screw Compressor with Microprocessor Control IOM,S70-101-IOM ,Not Specified,2000-01 ,2000-01 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/5J7tyW0wPmYo~VcmQ~KIVg,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RXB
RXF IOM with Quantum HD Controls (12-101),RXF IOM with Quantum HD Controls (12-101),070.410-IOM,Not Specified,2018-12 ,2018-12 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/g0NpuiJigh~YtYInMIjIzA,FRICK,Compressor,"24, 58, 15, 85, 68, 101, 39, 30, 50, 12, 19 ",Not Specified,Industrial Refrigeration,None,,RXF
RXF with Quantum HD Controls SPC (12-50),RXF with Quantum HD Controls SPC (12-50),070.410-SPC1 ,Not Specified,2014-07 ,2014-07 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/scQcoS5mMvHgHnlCP2tEZA,FRICK,Compressor,"24, 19, 50, 15, 12, 39, 30 ",Not Specified,Industrial Refrigeration,None,,RXF
"SBTP Compressor IOM (4013, 4018, and 4021)","SBTP Compressor IOM (4013, 4018, and 4021)",070.655-IOM,Not Specified,Not Specified,2019-05,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/SKEQ~L2YKFMx5vcYKgmv9w,FRICK,Compressor,"4018, 4013, 4021",Not Specified,Industrial Refrigeration,None,,SBTP
"SBTP Compressor SPC (4013, 4018, and 4021)","SBTP Compressor SPC (4013, 4018, and 4021)",070.655-SPC,Not Specified,Not Specified,2017-11,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/jIsJYuy3Y3Kf8AAE~Z2OzQ,FRICK,Compressor,"4018, 4013, 4021",Not Specified,Industrial Refrigeration,None,,SBTP
