topic_title,document_title,document_number,document_part_number,document_version,document_revision,document_type,document_lang,document_created_at,document_last_edition,document_last_publication,document_revised_modified,document_link,brand,product_category,product_code,product_series,business,maps_link,breadcrumb,product_name,product_identifier
HPSH Rotary Screw Compressor IOM (1510),HPSH Rotary Screw Compressor IOM (1510),070.750-IOM ,Not Specified,2018-05 ,2018-05 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/Dx7HJvR53kjxsOH2PiIw0g,FRICK,Compressor,"1510, 1510 , 2709 , 2712",Not Specified,Industrial Refrigeration,None,,HPSH,8a642e63b91327c3fed7897b49bb3a503801ac21
"HPSH Rotary Screw Compressor SPC (1510, 2709, and 2712)","HPSH Rotary Screw Compressor SPC (1510, 2709, and 2712)",070.755-SPC,Not Specified,2019-05 ,2019-05 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/qOJN~RMGQli9hh1XWleuvQ,FRICK,Compressor,"1510, 1510 , 2709 , 2712",Not Specified,Industrial Refrigeration,None,,HPSH,8a642e63b91327c3fed7897b49bb3a503801ac21
NGC Gas Compressor IOM (100-450),NGC Gas Compressor IOM (100-450),070.800-IOM,Not Specified,2014-02 ,2014-02 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/5_pLk_RUsGZFj_GlEoGryQ,FRICK,Compressor,"100, 150, 200, 250, 300 , 400, 450",Not Specified,Industrial Refrigeration,None,,NGC,491a03ef2d081d736d04d528e73504c06b53e893
NGC Rotary Screw Compressors IOM (100-450),NGC Rotary Screw Compressors IOM (100-450),070.550-IOM,Not Specified,2016-09 ,2016-09 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/W2sHBB7lm8aXh7a5JCSztQ,FRICK,Compressor,"100, 150, 200, 250, 300 , 400, 450",Not Specified,Industrial Refrigeration,None,,NGC,491a03ef2d081d736d04d528e73504c06b53e893
NGC Rotary Screw Compressors SPC (100-450),NGC Rotary Screw Compressors SPC (100-450),070.550-SPC,Not Specified,2014-11 ,2014-11 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/IonkN1h1H201uOanbUZh3g,FRICK,Compressor,"100, 150, 200, 250, 300 , 400, 450",Not Specified,Industrial Refrigeration,None,,NGC,491a03ef2d081d736d04d528e73504c06b53e893
RWB II IOM (496-1080),RWB II IOM (496-1080),S70-210-IOM ,Not Specified,2005-09 ,2005-09 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/b6zHHSanvtI_5KhRNlAvCA,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWBII,e371056e67dcd54a9fa06e7cf749702d2ab545e9
RWB II IOM (496-1080),RWB II IOM (496-1080),S70-210-IOM ,Not Specified,2005-09 ,2005-09 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/dBOB50nc32kSZWrBqUOf9A,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWBII,e371056e67dcd54a9fa06e7cf749702d2ab545e9
RWB II SPC (60 and 480),RWB II SPC (60 and 480),E70-200-SPC ,Not Specified,2001-04 ,2001-04 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/0Z0~49oIKcLe34KRLqb_xg,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWBII,e371056e67dcd54a9fa06e7cf749702d2ab545e9
RWF II Vertical SPC (496-1395 with Quantum LX),RWF II Vertical SPC (496-1395 with Quantum LX),070.620-SPC,Not Specified,Not Specified,2010-07,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/qR7SONhAvTT1hiikYI7izQ,FRICK,Compressor,"100, 100B, 100H, 1080, 119 SS, 134 , 134B, 134H, 159 SS, 177, 177B, 177H, 209 SS, 222, 222B, 222H, 264 SS, 270, 270B, 270H, 316, 316B, 316H, 375 SS, 399, 399B, 399H, 472 SS, 480, 480B , 480H, 496, 546, 546B, 546H, 676, 856",Not Specified,Industrial Refrigeration,None,,RWFII,c6d5358d5a677ce85b053a5285b0c472bf2caab5
RWF IOM (100-480),RWF IOM (100-480),070.600-IOM ,Not Specified,2013-01 ,2013-01 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/5Al5T4OAdUAolFQtSPxv6Q,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWF,2ff804fde4739ce6149dda08a9b2611773cd11ee
RWF SPC (100-480),RWF SPC (100-480),E70-600-SPC,Not Specified,2000-10 ,2000-10 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/9OlylE~JeZtJDEOxZXXyuQ,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RWF,2ff804fde4739ce6149dda08a9b2611773cd11ee
